Row,Name,start,end,Party,Country
1,W. T. Cosgrave,12/6/1922,3/9/1932,Cumann na nGaedheal,Ireland
2,Éamon de Valera,3/9/1932,2/18/1948,Fianna Fáil,Ireland
3,John A. Costello,2/18/1948,6/13/1951,Fine Gael,Ireland
4,Éamon de Valera (2),6/13/1951,6/2/1954,Fianna Fáil,Ireland
5,John A. Costello (2),6/2/1954,3/20/1957,Fine Gael,Ireland
6,Éamon de Valera (3),3/20/1957,6/23/1959,Fianna Fáil,Ireland
7,Seán Lemass,6/23/1959,11/10/1966,Fianna Fáil,Ireland
8,Jack Lynch,11/10/1966,3/14/1973,Fianna Fáil,Ireland
9,Liam Cosgrave,3/14/1973,7/5/1977,Fine Gael,Ireland
10,Jack Lynch (2),7/5/1977,12/11/1979,Fianna Fáil,Ireland
11,Charles Haughey,12/11/1979,6/30/1981,Fianna Fáil,Ireland
12,Garret FitzGerald,6/30/1981,3/9/1982,Fine Gael,Ireland
13,Charles Haughey (2),3/9/1982,12/14/1982,Fianna Fáil,Ireland
14,Garret FitzGerald (2),12/14/1982,3/10/1987,Fine Gael,Ireland
15,Charles Haughey (3),3/10/1987,2/11/1992,Fianna Fáil,Ireland
16,Albert Reynolds,2/11/1992,12/15/1994,Fianna Fáil,Ireland
17,John Bruton,12/15/1994,6/26/1997,Fine Gael,Ireland
18,Bertie Ahern,6/26/1997,5/7/2008,Fianna Fáil,Ireland
19,Brian Cowen,5/7/2008,3/9/2011,Fianna Fáil,Ireland
20,Enda Kenny,3/9/2011,6/14/2017,Fine Gael,Ireland
21,Leo Varadkar,6/14/2017,2/18/2019,Fine Gael,Ireland
