Row,Name,start,end,Party,Country
22,Sir James Craig,6/7/1921,11/24/1940,Ulster Unionist Party,Northern Ireland
23,John Miller Andrews,11/27/1940,5/1/1943,Ulster Unionist Party,Northern Ireland
24,Sir Basil Brooke,5/1/1943,3/26/1963,Ulster Unionist Party,Northern Ireland
25,Terence O'Neill,3/25/1963,5/1/1969,Ulster Unionist Party,Northern Ireland
26,James Chichester-Clark,5/1/1969,3/23/1971,Ulster Unionist Party,Northern Ireland
27,Brian Faulkner,3/23/1971,3/30/1972,Ulster Unionist Party,Northern Ireland
28,Direct Rule,4/1/1972,12/31/1973,Direct Rule,Northern Ireland
29,Brian Faulkner (2),1/1/1974,5/28/1974,Ulster Unionist Party,Northern Ireland
30,Direct Rule (2),5/29/1974,6/30/1998,Direct Rule,Northern Ireland
31,David Trimble,7/1/1998,10/14/2002,Ulster Unionist Party,Northern Ireland
32,Direct Rule (3),10/15/2002,5/7/2007,Direct Rule,Northern Ireland
33,Ian Paisley,5/8/2007,1/11/2010,Democratic Unionist Party,Northern Ireland
34,Peter Robinson,2/3/2010,1/11/2016,Democratic Unionist Party,Northern Ireland
35,Arlene Foster,1/11/2016,1/9/2017,Democratic Unionist Party,Northern Ireland
36,Direct Rule (4),1/9/2017,2/18/2019,Direct Rule,Northern Ireland
